央视1080p,#genre#
CCTV-1 综合,http://112.123.243.37:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1 综合#2,http://69.30.245.50/live/cctv1.m3u8
CCTV-1 综合#3,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-2 财经,http://112.123.243.37:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2 财经#2,http://222.223.41.27:8888/hls/2/index.m3u8
CCTV-2 财经#3,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8
CCTV-3 综艺,http://112.123.243.37:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3 综艺#2,http://222.223.41.27:8888/hls/3/index.m3u8
CCTV-3 综艺#3,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-4 中文国际,http://112.123.243.37:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4 中文国际#2,http://120.198.95.220:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-4 中文国际#3,http://222.223.41.27:8888/hls/4/index.m3u8
CCTV-5 体育,http://120.198.95.220:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-5 体育#2,http://112.123.243.37:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5 体育#3,http://222.223.41.27:8888/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://112.123.243.37:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6 电影,http://112.123.243.37:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6 电影#2,http://120.198.95.220:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-6 电影#3,http://69.30.245.50/live/cctv6.m3u8
CCTV-7 国防军事,http://112.123.243.37:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7 国防军事#2,http://222.223.41.27:8888/hls/7/index.m3u8
CCTV-7 国防军事#3,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8 电视剧,http://112.123.243.37:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8 电视剧#2,http://222.223.41.27:8888/hls/8/index.m3u8
CCTV-8 电视剧#3,http://120.202.94.181:9446/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9 纪录,http://112.123.243.37:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-9 纪录#2,http://222.223.41.27:8888/hls/9/index.m3u8
CCTV-10 科教,http://222.223.41.27:8888/hls/10/index.m3u8
CCTV-10 科教#2,http://207.56.13.146:81/cdnlive/cctv10.m3u8
CCTV-10 科教#3,http://116.128.243.121:9905/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11 戏曲,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV-11 戏曲#2,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-11 戏曲#3,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-12 社会与法,http://112.123.243.37:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12 社会与法#2,http://120.198.95.220:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-12 社会与法#3,http://198.204.228.26/live/cctv12hd.m3u8
CCTV-13 新闻,http://112.123.243.37:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13 新闻#2,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-13 新闻#3,http://222.223.41.27:8888/hls/13/index.m3u8
CCTV-14 少儿,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-14 少儿#2,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-14 少儿#3,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-15 音乐,http://112.123.243.37:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15 音乐#2,http://120.198.95.220:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-15 音乐#3,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16 奥林匹克,http://173.208.212.130:8181/1080p/cctv16.m3u8
CCTV-16 奥林匹克#2,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17 农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV-4K 超高清,http://198.204.240.250:82/live/cctv4k.m3u8
